"","x"
"1178","11/27/1997"
"1179","11/28/1997"
"1180","12/01/1997"
"1181","12/02/1997"
"1182","12/03/1997"
"1183","12/04/1997"
"1184","12/05/1997"
"1185","12/08/1997"
"1186","12/09/1997"
"1187","12/10/1997"
"1188","12/11/1997"
"1189","12/12/1997"
"1190","12/17/1997"
"1191","01/12/1998"
"1192","01/13/1998"
"1193","01/14/1998"
"1194","01/15/1998"
"1195","01/16/1998"
"1196","01/19/1998"
"1197","01/20/1998"
"1198","01/21/1998"
"1199","01/22/1998"
"1200","01/23/1998"
"1201","01/26/1998"
"1202","01/27/1998"
"1203","01/28/1998"
"1204","01/29/1998"
"1205","01/30/1998"
"1206","02/02/1998"
"1207","02/03/1998"
"1208","02/04/1998"
"1209","02/05/1998"
"1210","02/06/1998"
"1211","02/09/1998"
"1212","02/10/1998"
"1213","02/11/1998"
"1214","02/12/1998"
"1215","02/13/1998"
"1216","02/16/1998"
"1217","02/17/1998"
"1218","02/18/1998"
"1219","02/19/1998"
"1220","02/23/1998"
"1221","02/24/1998"
"1222","02/25/1998"
"1223","02/26/1998"
"1224","02/27/1998"
"1225","03/02/1998"
"1226","03/03/1998"
"1227","03/04/1998"
"1228","03/05/1998"
"1229","03/06/1998"
"1230","03/09/1998"
"1231","03/10/1998"
"1232","03/11/1998"
"1233","03/12/1998"
"1234","03/13/1998"
"1235","03/16/1998"
"1236","03/17/1998"
"1237","03/18/1998"
"1238","03/19/1998"
"1239","03/20/1998"
"1240","03/23/1998"
"1241","03/24/1998"
"1242","03/25/1998"
"1243","03/26/1998"
"1244","03/27/1998"
"1245","03/30/1998"
"1246","03/31/1998"
